13:49:06.243 [main] INFO  resources.Log - Selected First carrier which is: 9mobile Nigeria
Nigeriais the country
13:49:06.293 [main] INFO  resources.Log - Submitted the New RCS BOT
13:49:07.319 [main] INFO  resources.Log - Reading the Property file
13:49:07.319 [main] INFO  resources.Log - The Value of the CreateNewBotSucessPopup1 Fetched from the Properties: Bot has been submitted successfully.
13:49:07.338 [main] INFO  resources.Log - Bot has been submitted successfully.
13:49:07.361 [main] INFO  resources.Log - Reading the Property file
13:49:07.361 [main] INFO  resources.Log - The Value of the CreateNewBotSucessPopup2 Fetched from the Properties: Visit dashboard to see the progress.
13:49:07.378 [main] INFO  resources.Log - Visit dashboard to see the progress.
13:49:07.435 [main] INFO  resources.Log - Reading the Property file
13:49:07.435 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:09.598 [main] INFO  resources.Log - AutomationBot
The maintenance of a
13:49:09.618 [main] INFO  resources.Log - Reading the Property file
13:49:09.618 [main] INFO  resources.Log - The Value of the CreateNewBotStatus Fetched from the Properties: Submitted
13:49:09.629 [main] INFO  resources.Log - Submitted
13:49:09.630 [main] INFO  resources.Log - XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
13:49:09.630 [main] INFO  resources.Log - X
13:49:09.630 [main] INFO  resources.Log - X
13:49:09.630 [main] INFO  resources.Log - X
13:49:09.630 [main] INFO  resources.Log - X
13:49:09.631 [main] INFO  resources.Log - Listener OnTestStart method verifyCreateNewRcsBotButton
13:49:09.631 [main] INFO  resources.Log - ****************************************************************************************
13:49:09.631 [main] INFO  resources.Log - ****************************************************************************************
13:49:09.631 [main] INFO  resources.Log - $$$$$$$$$$$$$$$$$$$$$                 verifyCreateNewRcsBotButton       $$$$$$$$$$$$$$$$$$$$$$$$$
13:49:09.631 [main] INFO  resources.Log - ****************************************************************************************
13:49:09.631 [main] INFO  resources.Log - ****************************************************************************************
13:49:09.631 [main] INFO  resources.Log - Reading the Property file
13:49:09.631 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:10.857 [main] INFO  resources.Log - Clicked on Create New RCS BOT button
13:49:10.868 [main] INFO  resources.Log - Reading the Property file
13:49:10.868 [main] INFO  resources.Log - The Value of the RcsBotDetailsURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/create-bot/rcs-bot-details
13:49:10.868 [main] INFO  resources.Log - -----------Sucessfully Entered RCS BOT DETAILs page--------
13:49:10.868 [main] INFO  resources.Log - XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
13:49:10.868 [main] INFO  resources.Log - X
13:49:10.868 [main] INFO  resources.Log - X
13:49:10.868 [main] INFO  resources.Log - X
13:49:10.868 [main] INFO  resources.Log - X
13:49:10.869 [main] INFO  resources.Log - Listener OnTestStart method verifyPrivacyPolicyPage
13:49:10.869 [main] INFO  resources.Log - ****************************************************************************************
13:49:10.869 [main] INFO  resources.Log - ****************************************************************************************
13:49:10.869 [main] INFO  resources.Log - $$$$$$$$$$$$$$$$$$$$$                 verifyPrivacyPolicyPage       $$$$$$$$$$$$$$$$$$$$$$$$$
13:49:10.869 [main] INFO  resources.Log - ****************************************************************************************
13:49:10.869 [main] INFO  resources.Log - ****************************************************************************************
13:49:10.870 [main] INFO  resources.Log - Reading the Property file
13:49:10.870 [main] INFO  resources.Log - The Value of the DashboardURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/dashboard
13:49:12.395 [main] INFO  resources.Log - Clicked on Create New RCS BOT button
13:49:12.400 [main] INFO  resources.Log - Reading the Property file
13:49:12.400 [main] INFO  resources.Log - The Value of the RcsBotDetailsURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer/create-bot/rcs-bot-details
13:49:12.400 [main] INFO  resources.Log - -----------Sucessfully Entered RCS BOT DETAILs page--------
13:49:13.114 [main] INFO  resources.Log - Reading the Property file
13:49:13.114 [main] INFO  resources.Log - The Value of the PrivacyPolicyURL Fetched from the Properties: https://stagingpartners.dotgo.com/developer-pp
